budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year,director_popularity,actor_popularity,writer_popularity
6000000,Paramount Pictures,USA,John Hughes,Comedy,70136369,Ferris Bueller's Day Off,PG-13,11/06/86,103,7.8,Matthew Broderick,264740,John Hughes,1986,0.6,2.453,2.665
15000000,Paramount Pictures,USA,Tony Scott,Action,179800601,Top Gun,PG,16/05/86,110,6.9,Tom Cruise,236909,Jim Cash,1986,2.489,23.05,1.96
18500000,Twentieth Century Fox Film Corporation,USA,James Cameron,Action,85160248,Aliens,R,18/07/86,137,8.4,Sigourney Weaver,540152,James Cameron,1986,4.903,10.412,0.6
9000000,Walt Disney Pictures,USA,Randal Kleiser,Adventure,18564613,Flight of the Navigator,PG,1/08/86,90,6.9,Joey Cramer,36636,Mark H. Baker,1986,0.631,1.396,0.6
15000000,SLM Production Group,USA,David Cronenberg,Drama,40456565,The Fly,R,15/08/86,96,7.5,Jeff Goldblum,129698,George Langelaan,1986,4.002,2.022,0.6
25000000,Twentieth Century Fox Film Corporation,USA,John Carpenter,Action,11100000,Big Trouble in Little China,PG-13,2/07/86,99,7.3,Kurt Russell,101678,Gary Goldman,1986,2.672,3.311,1.094
2000000,New Line Cinema,USA,Stephen Herek,Action,13167232,Critters,PG-13,11/04/86,82,6,Dee Wallace,25517,Domonic Muir,1986,0.66,1.859,0.6
4700000,Cannon Films,USA,Tobe Hooper,Comedy,8025872,The Texas Chainsaw Massacre 2,UNRATED,22/08/86,89,5.6,Dennis Hopper,21253,L.M. Kit Carson,1986,1.744,4.878,0.828
25000000,Paramount Pictures,USA,Michael Ritchie,Action,79817937,The Golden Child,PG-13,12/12/86,94,5.9,Eddie Murphy,42997,Dennis Feldman,1986,1.073,1.96,0.694
1900000,Hemdale,USA,Tim Hunter,Crime,4600000,River's Edge,R,8/05/87,99,7.1,Crispin Glover,12862,Neal Jimenez,1986,1.176,2.175,0.6
25000000,L.A. Films,USA,John Landis,Comedy,39246734,¡Three Amigos!,PG,12/12/86,104,6.4,Steve Martin,57406,Steve Martin,1986,1.672,12.513,0.6
25000000,Warner Bros.,USA,George P. Cosmatos,Action,49042224,Cobra,R,23/05/86,87,5.7,Sylvester Stallone,54851,Paula Gosling,1986,0.919,4.269,0.6
25000000,The Saul Zaentz Company,USA,Peter Weir,Adventure,14302779,The Mosquito Coast,PG,26/11/86,117,6.6,Harrison Ford,23076,Paul Theroux,1986,1.238,3.996,0.6
10000000,De Laurentiis Entertainment Group (DEG),USA,John Guillermin,Action,4711220,King Kong Lives,PG-13,19/12/86,105,3.8,Brian Kerwin,4401,Ronald Shusett,1986,0.985,2.547,1.244
4500000,Empire Pictures,USA,Stuart Gordon,Horror,1261000,From Beyond,R,24/10/86,86,6.7,Jeffrey Combs,16636,H.P. Lovecraft,1986,1.4,10.507,0.6
8500000,De Laurentiis Entertainment Group (DEG),USA,John Irvin,Action,16209459,Raw Deal,R,6/06/86,106,5.5,Arnold Schwarzenegger,24851,Luciano Vincenzoni,1986,1.385,0.811,1.62
6000000,Sunbow Productions,USA,Nelson Shin,Animation,5849647,The Transformers: The Movie,PG,8/08/86,84,7.3,Orson Welles,33609,Ron Friedman,1986,0.84,13.581,1.128
20000000,Paramount Pictures,USA,Mike Nichols,Comedy,25314289,Heartburn,R,25/07/86,108,6.1,Meryl Streep,7570,Nora Ephron,1986,1.03,1.96,2.242
18000000,Paramount Pictures,USA,Ron Howard,Comedy,36611610,Gung Ho,PG-13,14/03/86,112,6.2,Michael Keaton,9965,Edwin Blum,1986,4.23,0.967,0.694
10000000,Orion Pictures,USA,Robert Mandel,Action,20603715,F/X,R,7/02/86,109,6.7,Bryan Brown,14502,Robert T. Megginson,1986,0.688,1.442,0.98
5000000,Paramount Pictures,USA,Fred Walton,Horror,12947763,April Fool's Day,R,28/03/86,89,6.2,Deborah Foreman,11458,Danilo Bach,1986,0.618,15.11,0.6
12000000,Cinema Group Ventures,USA,Roger Spottiswoode,Comedy,7790931,The Best of Times,PG-13,31/01/86,104,5.9,Robin Williams,5523,Ron Shelton,1986,1.146,1.441,1.015
20000000,De Laurentiis Entertainment Group (DEG),USA,Bruce Beresford,Comedy,22905500,Crimes of the Heart,PG-13,23/01/87,105,6.4,Diane Keaton,3079,Beth Henley,1986,1.057,6.766,0.6
6000000,Golan-Globus Productions,USA,J. Lee Thompson,Action,9947631,Murphy's Law,R,18/04/86,100,5.9,Charles Bronson,3561,Gail Morgan Hickman,1986,1.62,6.202,0.98
15000000,Amercent Films,USA,John McTiernan,Action,59735548,Predator,R,12/06/87,107,7.8,Arnold Schwarzenegger,313213,Jim Thomas,1987,2.02,3.6,1.26
13000000,Orion Pictures,USA,Paul Verhoeven,Action,53424681,RoboCop,R,17/07/87,102,7.5,Peter Weller,196245,Edward Neumeier,1987,2.918,3.724,1.128
15000000,Warner Bros.,USA,Richard Donner,Action,65207127,Lethal Weapon,R,6/03/87,110,7.6,Mel Gibson,204328,Shane Black,1987,2.226,3.632,1.806
25000000,Paramount Pictures,USA,Brian De Palma,Crime,76270454,The Untouchables,R,3/06/87,119,7.9,Kevin Costner,234254,Oscar Fraley,1987,3.109,2.551,0.6
