budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year,director_popularity,actor_popularity,writer_popularity
170000000,Twentieth Century Fox,USA,Robert Rodriguez,Action,404852543,Alita - Battle Angel,R,14/02/19,122,7.3,Rosa Salazar,217183,James Cameron,2019,2.577,6.909,0.6
100000000,Warner Bros.,USA,David F. Sandberg,Action,365971656,Shazam!,R,3/04/19,132,7.1,Zachary Levi,240858,Henry Gayden,2019,2.769,5.333,1.284
149000000,Warner Bros.,USA,Patty Jenkins,Action,821847012,Wonder Woman,R,1/06/17,141,7.4,Gal Gadot,535903,Allan Heinberg,2017,2.705,17.693,1.164
300000000,Warner Bros.,USA,Zack Snyder,Action,681871991,Justice League,R,16/11/17,120,6.3,Ben Affleck,371025,Jerry Siegel,2017,6.331,9.068,1.886
50000000,Lionsgate,USA,Adrian Grunberg,Action,91490353,Rambo: Last Blood,R,26/09/19,89,6.1,Sylvester Stallone,76064,Matthew Cirulnick,2019,1.425,17.609,0.6
59000000,Universal Pictures,USA,Damien Chazelle,Biography,105697415,First Man,R,31/10/18,141,7.3,Ryan Gosling,159476,Josh Singer,2018,3.106,5.312,1.013
110000000,Paramount Pictures,USA,Rupert Sanders,Action,169801921,Ghost in the Shell,R,30/03/17,107,6.3,Scarlett Johansson,191536,Shirow Masamune,2017,0.84,62.572,3.451
25000000,Amazon Studios,USA,Felix van Groeningen,Biography,16636604,Beautiful Boy,R,13/06/19,120,7.3,Steve Carell,48357,Luke Davies,2018,1.4,5.05,1.4
5000000,Aviron Pictures,USA,Johannes Roberts,Horror,31039126,The Strangers: Prey at Night,R,31/05/18,85,5.2,Christina Hendricks,25927,Bryan Bertino,2018,2.18,7.418,1.4
159000000,Tribeca Productions,USA,Martin Scorsese,Biography,968853,The Irishman,R,27/11/19,209,7.9,Robert De Niro,304528,Steven Zaillian,2019,8.532,12.481,1.4
35000000,Alcon Entertainment,USA,Nicolai Fuglsig,Action,67450815,12 Soldiers,R,11/07/18,130,6.6,Chris Hemsworth,64601,Ted Tally,2018,0.6,19.689,1.157
